year	state	district	crop	season	area	production
2002	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	36458	83117
2002	RAJASTHAN 	CHURU	Wheat	Rabi	12191	33026
2002	RAJASTHAN 	DAUSA	Wheat	Rabi	82714	264936
2002	RAJASTHAN 	DHOLPUR	Wheat	Rabi	44399	145417
2002	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	9536	17633
2002	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	154930	414538
2002	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	167298	523366
2002	RAJASTHAN 	JAIPUR	Wheat	Rabi	145798	425900
2002	RAJASTHAN 	JAISALMER	Wheat	Rabi	7486	20280
2002	RAJASTHAN 	JALORE	Wheat	Rabi	29446	44959
2002	RAJASTHAN 	JHALAWAR	Wheat	Rabi	21558	48080
2002	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	61244	209336
2002	RAJASTHAN 	JODHPUR	Wheat	Rabi	40643	80102
2002	RAJASTHAN 	KARAULI	Wheat	Rabi	52941	131287
2002	RAJASTHAN 	KOTA	Wheat	Rabi	50311	141770
2002	RAJASTHAN 	NAGAUR	Wheat	Rabi	85412	189465
2002	RAJASTHAN 	PALI	Wheat	Rabi	29431	61032
2002	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	1482	3158
2002	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	54227	82843
2002	RAJASTHAN 	SIKAR	Wheat	Rabi	84627	247138
2002	RAJASTHAN 	SIROHI	Wheat	Rabi	10087	24429
2002	RAJASTHAN 	TONK	Wheat	Rabi	39825	80975
2002	RAJASTHAN 	UDAIPUR	Wheat	Rabi	16935	38743
2003	RAJASTHAN 	AJMER	Wheat	Rabi	21595	42225
2003	RAJASTHAN 	ALWAR	Wheat	Rabi	188108	648794
2003	RAJASTHAN 	BANSWARA	Wheat	Rabi	69513	140615
2003	RAJASTHAN 	BAREN	Wheat	Rabi	55314	132471
2003	RAJASTHAN 	BARMER	Wheat	Rabi	13124	20140
2003	RAJASTHAN 	BHARATPUR	Wheat	Rabi	142184	535114
2003	RAJASTHAN 	BHILWARA	Wheat	Rabi	46401	76846
2003	RAJASTHAN 	BIKANER	Wheat	Rabi	35986	83088
2003	RAJASTHAN 	BUNDI	Wheat	Rabi	102994	264088
2003	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	65010	196663
2003	RAJASTHAN 	CHURU	Wheat	Rabi	11469	32044
2003	RAJASTHAN 	DAUSA	Wheat	Rabi	89144	281950
2003	RAJASTHAN 	DHOLPUR	Wheat	Rabi	44603	155008
2003	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	33573	72447
2003	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	173534	481910
2003	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	178519	453304
2003	RAJASTHAN 	JAIPUR	Wheat	Rabi	157519	469499
2003	RAJASTHAN 	JAISALMER	Wheat	Rabi	5377	15023
2003	RAJASTHAN 	JALORE	Wheat	Rabi	29457	53836
2003	RAJASTHAN 	JHALAWAR	Wheat	Rabi	34651	96196
2003	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	63456	175314
2003	RAJASTHAN 	JODHPUR	Wheat	Rabi	36836	93104
2003	RAJASTHAN 	KARAULI	Wheat	Rabi	63492	231030
2003	RAJASTHAN 	KOTA	Wheat	Rabi	66760	191358
2003	RAJASTHAN 	NAGAUR	Wheat	Rabi	74768	201871
2003	RAJASTHAN 	PALI	Wheat	Rabi	38801	79685
2003	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	5376	15020
2003	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	60948	130252
2003	RAJASTHAN 	SIKAR	Wheat	Rabi	86844	229255
2003	RAJASTHAN 	SIROHI	Wheat	Rabi	26658	70468
2003	RAJASTHAN 	TONK	Wheat	Rabi	47241	124621
2003	RAJASTHAN 	UDAIPUR	Wheat	Rabi	33804	82623
2004	RAJASTHAN 	AJMER	Wheat	Rabi	25457	52533
2004	RAJASTHAN 	ALWAR	Wheat	Rabi	157411	511753
2004	RAJASTHAN 	BANSWARA	Wheat	Rabi	77545	160663
2004	RAJASTHAN 	BAREN	Wheat	Rabi	55154	156111
2004	RAJASTHAN 	BARMER	Wheat	Rabi	12389	23465
2004	RAJASTHAN 	BHARATPUR	Wheat	Rabi	111319	324549
2004	RAJASTHAN 	BHILWARA	Wheat	Rabi	83389	215568
2004	RAJASTHAN 	BIKANER	Wheat	Rabi	34880	73466
2004	RAJASTHAN 	BUNDI	Wheat	Rabi	81202	266007
2004	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	96294	266320
2004	RAJASTHAN 	CHURU	Wheat	Rabi	13071	37107
2004	RAJASTHAN 	DAUSA	Wheat	Rabi	78802	196430
2004	RAJASTHAN 	DHOLPUR	Wheat	Rabi	42002	142512
2004	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	37821	80873
2004	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	149237	474366
2004	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	157654	526746
2004	RAJASTHAN 	JAIPUR	Wheat	Rabi	155445	464550
2004	RAJASTHAN 	JAISALMER	Wheat	Rabi	4821	13686
2004	RAJASTHAN 	JALORE	Wheat	Rabi	22327	37852
2004	RAJASTHAN 	JHALAWAR	Wheat	Rabi	49431	161194
2004	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	59680	158612
2004	RAJASTHAN 	JODHPUR	Wheat	Rabi	34403	76125
2004	RAJASTHAN 	KARAULI	Wheat	Rabi	50984	167098
2004	RAJASTHAN 	KOTA	Wheat	Rabi	64902	220058
2004	RAJASTHAN 	NAGAUR	Wheat	Rabi	69640	141396
2004	RAJASTHAN 	PALI	Wheat	Rabi	25553	43649
